sage: sfpan(7,3,onlycount=True,proof=True, verbose=6)
[3, 5, 7, 11, 389, 34883] 15245
[3, 5, 7, 11, 389, 34897] 15201
[3, 5, 7, 11, 389, 34913] 15147
[3, 5, 7, 11, 389, 34919] 15132
[3, 5, 7, 11, 389, 34939] 15065
[3, 5, 7, 11, 389, 34949] 15032
[3, 5, 7, 11, 389, 34961] 14992
[3, 5, 7, 11, 389, 34963] 14985
[3, 5, 7, 11, 389, 34981] 14933
[3, 5, 7, 11, 389, 35023] 14802
[3, 5, 7, 11, 389, 35027] 14792
[3, 5, 7, 11, 389, 35051] 14719
[3, 5, 7, 11, 389, 35053] 14714
[3, 5, 7, 11, 389, 35059] 14700
[3, 5, 7, 11, 389, 35069] 14667
[3, 5, 7, 11, 389, 35081] 14632
[3, 5, 7, 11, 389, 35083] 14627
[3, 5, 7, 11, 389, 35089] 14610
[3, 5, 7, 11, 389, 35099] 14580
[3, 5, 7, 11, 389, 35107] 14559
[3, 5, 7, 11, 389, 35111] 14546
[3, 5, 7, 11, 389, 35117] 14530
[3, 5, 7, 11, 389, 35129] 14496
[3, 5, 7, 11, 389, 35141] 14465
[3, 5, 7, 11, 389, 35149] 14442
[3, 5, 7, 11, 389, 35153] 14433
[3, 5, 7, 11, 389, 35159] 14417
[3, 5, 7, 11, 389, 35171] 14383
[3, 5, 7, 11, 389, 35201] 14298
[3, 5, 7, 11, 389, 35221] 14249
[3, 5, 7, 11, 389, 35227] 14234
[3, 5, 7, 11, 389, 35251] 14167
[3, 5, 7, 11, 389, 35257] 14156
[3, 5, 7, 11, 389, 35267] 14126
[3, 5, 7, 11, 389, 35279] 14093
[3, 5, 7, 11, 389, 35281] 14087
[3, 5, 7, 11, 389, 35291] 14061
[3, 5, 7, 11, 389, 35311] 14007
[3, 5, 7, 11, 389, 35317] 13988
[3, 5, 7, 11, 389, 35323] 13969
[3, 5, 7, 11, 389, 35327] 13960
[3, 5, 7, 11, 389, 35339] 13928
[3, 5, 7, 11, 389, 35353] 13897
[3, 5, 7, 11, 389, 35363] 13869
[3, 5, 7, 11, 389, 35381] 13825
[3, 5, 7, 11, 389, 35393] 13791
[3, 5, 7, 11, 389, 35401] 13769
[3, 5, 7, 11, 389, 35407] 13756
[3, 5, 7, 11, 389, 35419] 13730
[3, 5, 7, 11, 389, 35423] 13719
[3, 5, 7, 11, 389, 35437] 13683
[3, 5, 7, 11, 389, 35447] 13658
[3, 5, 7, 11, 389, 35449] 13652
[3, 5, 7, 11, 389, 35461] 13619
[3, 5, 7, 11, 389, 35491] 13543
[3, 5, 7, 11, 389, 35507] 13499
[3, 5, 7, 11, 389, 35509] 13493
[3, 5, 7, 11, 389, 35521] 13469
[3, 5, 7, 11, 389, 35527] 13455
[3, 5, 7, 11, 389, 35531] 13442
[3, 5, 7, 11, 389, 35533] 13436
[3, 5, 7, 11, 389, 35537] 13425
[3, 5, 7, 11, 389, 35543] 13414
[3, 5, 7, 11, 389, 35569] 13354
[3, 5, 7, 11, 389, 35573] 13343
[3, 5, 7, 11, 389, 35591] 13298
[3, 5, 7, 11, 389, 35593] 13291
[3, 5, 7, 11, 389, 35597] 13281
[3, 5, 7, 11, 389, 35603] 13265
[3, 5, 7, 11, 389, 35617] 13231
[3, 5, 7, 11, 389, 35671] 13111
[3, 5, 7, 11, 389, 35677] 13095
[3, 5, 7, 11, 389, 35729] 12972
[3, 5, 7, 11, 389, 35731] 12968
[3, 5, 7, 11, 389, 35747] 12929
[3, 5, 7, 11, 389, 35753] 12912
[3, 5, 7, 11, 389, 35759] 12898
[3, 5, 7, 11, 389, 35771] 12873
[3, 5, 7, 11, 389, 35797] 12815
[3, 5, 7, 11, 389, 35801] 12804
[3, 5, 7, 11, 389, 35803] 12796
[3, 5, 7, 11, 389, 35809] 12787
[3, 5, 7, 11, 389, 35831] 12736
[3, 5, 7, 11, 389, 35837] 12721
[3, 5, 7, 11, 389, 35839] 12717
[3, 5, 7, 11, 389, 35851] 12687
[3, 5, 7, 11, 389, 35863] 12657
[3, 5, 7, 11, 389, 35869] 12645
[3, 5, 7, 11, 389, 35879] 12628
[3, 5, 7, 11, 389, 35897] 12595
[3, 5, 7, 11, 389, 35899] 12592
[3, 5, 7, 11, 389, 35911] 12569
[3, 5, 7, 11, 389, 35923] 12539
[3, 5, 7, 11, 389, 35933] 12519
[3, 5, 7, 11, 389, 35951] 12475
[3, 5, 7, 11, 389, 35963] 12446
[3, 5, 7, 11, 389, 35969] 12433
